metric,information_class,spearman_future_KL_AUC,pearson_future_KL_AUC
M0_raw_state_error,DEPLOYABLE,-0.14963880288957687,-0.05026300513189065
M0_raw_state_error_rel,DEPLOYABLE,0.007223942208462332,-0.05140505873713726
M1_qTE_norm,DEPLOYABLE,0.56656346749226,0.5506030813159992
M2_tangent_norm,DEPLOYABLE,0.5562435500515995,0.5442856819628706
M2_tangent_frac,DEPLOYABLE,0.5624355005159959,0.5095618659543003
M3_RMS_linearized_norm,DEPLOYABLE,-0.28586171310629516,-0.37604811811665484
M4_post_gate_linearized_norm,DEPLOYABLE,0.8163054695562435,0.8309979214698616
M5_out_proj_linearized_norm,DEPLOYABLE,0.7956656346749226,0.7918669119913309
M5_gain,DEPLOYABLE,-0.24871001031991744,-0.28231250225504145
M5_state,DEPLOYABLE,0.7956656346749226,0.7782412114914938
actual_out_proj_distortion_norm,ORACLE_ONLY_NOT_DEPLOYABLE,0.7708978328173375,0.754789942407438
R_current_q_G0,DEPLOYABLE,0.56656346749226,0.5579815159765714
R_current_q_G1,DEPLOYABLE,-0.28586171310629516,-0.3472542865282354
R_current_q_G2,DEPLOYABLE,0.8163054695562435,0.8500387313292694
R_current_q_G3,DEPLOYABLE,0.7956656346749226,0.8025785043501003
R_past16_G3,DEPLOYABLE,0.7853457172342622,0.7799543512715676
R_past64_G3,DEPLOYABLE,0.7853457172342622,0.774833767171214
R_past256_G3,DEPLOYABLE,0.7853457172342622,0.7779882002717665
R_pastEMA_G3,DEPLOYABLE,0.8018575851393189,0.7831214294139218
R_future_oracle_G3,ORACLE_ONLY_NOT_DEPLOYABLE,0.7853457172342622,0.7616621200802386
