condition,phase,problem_id,token,logit_relative_l2,logit_cosine,logit_top1_match,logit_top20_overlap,logit_nonfinite,state_relative_l2,state_max_abs,state_cosine,state_nonfinite
r0,primary,60,0,0.06893026958097999,0.9979884028434753,1.0,1.0,0,0.04004437290132046,0.167219877243042,0.9992355108261108,0
r0,primary,60,1,0.08779756717451181,0.9962437152862549,1.0,0.85,0,0.03638795018196106,0.16816365718841553,0.9993785619735718,0
r0,primary,60,2,0.05391541056299121,0.9985805749893188,1.0,0.9,0,0.03829963505268097,0.41937434673309326,0.9993261396884918,0
r0,primary,60,3,0.03565117024108328,0.9995412230491638,1.0,0.95,0,0.034054841846227646,0.16189944744110107,0.9994756579399109,0
r0,primary,60,4,0.0354836822082385,0.9995276927947998,1.0,0.9,0,0.03346458077430725,0.16164541244506836,0.9994895160198212,0
r0,primary,60,5,0.034994865905281836,0.9994751811027527,1.0,1.0,0,0.03379501774907112,0.16141468286514282,0.9994887113571167,0
r0,primary,60,6,0.13853322941156984,0.9908628463745117,1.0,0.9,0,0.032735686749219894,0.1612071990966797,0.9995126724243164,0
r0,primary,60,7,0.0383924895073964,0.9992898106575012,1.0,0.95,0,0.032833097502589226,0.16107481718063354,0.999506801366806,0
r0,primary,60,8,0.0389251977493966,0.9994686841964722,1.0,0.95,0,0.034443557262420654,0.16084015369415283,0.9994641840457916,0
r0,primary,60,9,0.052274971311225465,0.9991838932037354,1.0,1.0,0,0.033057162538170815,0.16051512956619263,0.9995186030864716,0
r0,primary,60,10,0.04269760529946703,0.9991124868392944,1.0,0.9,0,0.03112955577671528,0.09828197956085205,0.999581515789032,0
r0,primary,60,11,0.024187899784276688,0.9997192621231079,1.0,1.0,0,0.03034750558435917,0.0766235888004303,0.9996069371700287,0
r0,primary,60,12,0.020654217278744898,0.9997903108596802,1.0,1.0,0,0.029582534916698933,0.07636615633964539,0.9996292889118195,0
r0,primary,60,13,0.03303230492599342,0.9994564652442932,1.0,0.9,0,0.029105307534337044,0.0760003924369812,0.9996428489685059,0
r0,primary,60,14,0.0137859680932825,0.9999098181724548,1.0,1.0,0,0.028338738717138767,0.07541197538375854,0.9996518194675446,0
r0,primary,60,15,0.019454764052618846,0.9998164176940918,1.0,1.0,0,0.027748992666602135,0.07556334137916565,0.9996611177921295,0
r0,primary,60,16,0.021713727507276452,0.9997671246528625,1.0,0.9,0,0.027393313124775887,0.07509830594062805,0.9996656775474548,0
r0,primary,60,17,0.014949192351456525,0.9998937845230103,1.0,1.0,0,0.02755554672330618,0.07512891292572021,0.9996741712093353,0
r0,primary,60,18,0.03545632180203783,0.9993759393692017,1.0,0.9,0,0.027037822641432285,0.07485514879226685,0.999679297208786,0
r0,primary,60,19,0.012624187095675855,0.9999209642410278,1.0,0.95,0,0.026967589743435383,0.07514536380767822,0.9996870160102844,0
r0,primary,60,20,0.011731940434135462,0.9999414086341858,1.0,1.0,0,0.02646815311163664,0.07543912529945374,0.9996896982192993,0
r0,primary,60,21,0.019258532733959655,0.9998217225074768,1.0,1.0,0,0.026131324470043182,0.07540997862815857,0.9996947050094604,0
r0,primary,60,22,0.016792062417119082,0.9998853802680969,1.0,1.0,0,0.02598519716411829,0.07510817050933838,0.9997024536132812,0
r0,primary,60,23,0.021608720546723872,0.9997811913490295,1.0,1.0,0,0.025622820481657982,0.0751691460609436,0.9997099936008453,0
r0,primary,60,24,0.020810059113593786,0.999785304069519,1.0,0.9,0,0.025279881432652473,0.07507646083831787,0.9997226595878601,0
r0,primary,60,25,0.02120229433453196,0.9997754096984863,1.0,1.0,0,0.02496781200170517,0.07507729530334473,0.9997281730175018,0
r0,primary,60,26,0.019046757519771935,0.9998241066932678,1.0,1.0,0,0.025123181752860546,0.07472309470176697,0.9997232854366302,0
r0,primary,60,27,0.011610574331734734,0.999932587146759,1.0,1.0,0,0.025355268269777298,0.07458949089050293,0.999731719493866,0
